"condition (1-haptic fist, 2-visual first, 3-visual sec",participant,mean fixation duration,number of fixations,average X position,average Y position,coverage,number saccades,mean saccadic speed (deg/sec),mean saccadic duration (msec),mean saccadic amplitude (deg)
2,8,1048.93075117371,1,1009.15774647887,457.050704225352,NaN,1,55.5326592507625,0.0957335680751174,1.63762779832839
3,8,1000.57246376812,1,984.65,463.281280193237,NaN,1,55.1284626442594,0.104816425120773,1.77292346918301
1,9,633.643518518518,1,976.583217592593,555.623958333333,NaN,1.00694444444444,106.780825877231,0.0788861111111111,6.24551440903079
2,9,646.292824074074,1,958.743101851852,614.509444444444,NaN,1,101.806757660026,0.0916828703703704,6.61961699240972
3,9,720.256944444444,1,945.513472222222,602.05875,NaN,1,91.7264657648432,0.0878476851851852,5.19032265273126
1,10,597.602579365079,1,921.504722222222,534.918042328042,NaN,1,85.126498701279,0.0358025793650794,2.95132352059421
2,10,625.600132275132,1,908.021957671958,578.230264550265,NaN,1.00231481481481,86.0899176822983,0.0321446428571429,2.91894492391314
3,10,595.963095238095,1,912.505747354497,515.317824074074,NaN,1,83.8035338853575,0.0336834656084656,2.76847896919582
1,11,872.909027777778,1,914.506666666667,517.284444444444,NaN,1.00231481481481,75.9172698716879,0.0390882936507937,2.5120242200626
2,11,944.114814814815,1,938.376805555556,552.207013888889,NaN,1,73.5233900200276,0.0329319444444444,2.30934690988596
3,11,900.086342592593,1,921.417476851852,488.503611111111,NaN,1,68.8705840193655,0.0341756944444444,2.13408737500456
1,12,629.853472222222,1,981.537060185185,514.843425925926,NaN,1,65.3068589015268,0.0819465277777778,3.21297131998557
2,12,607.340972222222,1.00694444444444,957.417129629629,488.553541666667,NaN,1.00347222222222,59.9347231717825,0.066487962962963,2.5504259956376
3,12,629.082175925926,1,925.772546296296,454.733842592593,NaN,1,54.7783264088608,0.0849337962962963,2.63502068808685
1,13,402.02037037037,1,1014.64333333333,549.565,NaN,1.00231481481481,71.425182459678,0.0569866071428571,2.20887083740446
2,13,414.596527777778,1.00347222222222,1027.38166666667,535.55724537037,NaN,1.00231481481481,64.3735827920625,0.0559952711640212,2.02593902357328
3,13,438.555555555556,1.00694444444444,1006.84766203704,538.841643518519,NaN,1.00231481481481,63.6421951327762,0.0537410383597884,1.92144612860874
1,14,750.663194444444,1,905.98599537037,505.003935185185,NaN,1,68.0333284009493,0.0617094907407408,2.92886674393503
2,14,771.515046296296,1,917.421527777778,487.678472222222,NaN,1,62.7148450565204,0.0476412037037037,2.40346431234167
3,14,787.547453703704,1,892.376967592593,501.518981481481,NaN,1,66.2699546263892,0.0536365740740741,2.80992054880902
1,15,839.166666666667,1,953.123634259259,582.514189814815,NaN,1,82.3686289877964,0.0312282407407407,2.76528212035525
2,15,853.667592592593,1,928.066134259259,584.394097222222,NaN,1,70.7752034084316,0.024480787037037,1.98470798300003
3,15,920.771593915344,1.00231481481481,933.569097222222,527.631927910053,NaN,1.00277777777778,70.2793928551357,0.0280456018518519,2.12258730447408
1,16,458.981944444444,1,989.043472222222,574.564351851852,NaN,1,71.8532883647505,0.0440805555555556,2.4967176628424
2,16,547.868055555556,1,965.954791666667,568.956643518518,NaN,1.00231481481481,69.1521144655936,0.0473791666666667,2.36271424844615
3,16,472.240343915344,1.00509259259259,941.987447089947,552.638048941799,NaN,1,62.5062098520361,0.0539833333333333,2.21129093519556
1,17,580.175694444445,1.00347222222222,1013.84118055556,469.032847222222,NaN,1,81.2403588194622,0.065318287037037,3.37897798433236
2,17,670.558101851852,1,1041.74372685185,565.992986111111,NaN,1,73.8046854377138,0.0501386574074074,2.66766563115844
